depth,concurrency,tg_mean,tg_std,pp_mean,runs,verdict,source,tg_values
0,1,23.57,1.74,1582.8,5,CLEAN,seg-00,24.59;25.53;22.66;20.63;24.43
0,2,40.83,2.07,1640.7,3,CLEAN,seg-01,42.49;42.09;37.92
0,5,40.03,3.62,701.1,3,CLEAN,seg-01,35.88;39.52;44.71
0,10,40.50,0.89,714.8,3,CLEAN,seg-01,41.03;39.24;41.23
4096,1,22.79,4.09,659.8,3,CLEAN,seg-02,17.69;22.96;27.72
4096,2,35.73,1.51,670.8,3,CLEAN,seg-02,37.49;33.81;35.90
4096,5,33.52,1.00,430.8,3,CLEAN,seg-02,34.88;32.51;33.16
4096,10,29.36,0.21,432.1,3,CLEAN,seg-02,29.65;29.14;29.29
8192,1,25.50,1.14,412.2,3,CLEAN-WARN,seg-03,26.51;23.91;26.08
8192,2,35.61,2.08,417.3,3,CLEAN-WARN,seg-03,36.65;37.46;32.71
8192,5,23.96,0.20,311.0,3,CLEAN-WARN,seg-03,23.78;23.85;24.24
8192,10,20.32,1.21,311.6,3,CLEAN-WARN,seg-03,18.62;21.06;21.30
16384,1,23.09,3.75,223.0,3,CLEAN-WARN,rr-00,25.11;26.33;17.84
16384,2,34.26,4.73,228.0,3,CLEAN-WARN,rr2-01,34.67;39.84;28.27
16384,5,17.80,0.40,192.5,3,THROTTLED,rr-02,17.76;18.31;17.32
16384,10,13.80,0.04,188.9,3,THROTTLED,rr-03,13.77;13.85;13.77
32768,1,25.54,1.24,116.3,3,THROTTLED,rr2-04,26.50;23.79;26.32
32768,2,24.83,1.17,117.4,3,THROTTLED,rr2-05,25.75;25.56;23.18
32768,5,9.17,0.09,106.3,3,THROTTLED,rr-06,9.20;9.27;9.05
32768,10,7.55,0.03,105.8,3,THROTTLED,rr-07,7.54;7.60;7.53
65535,1,21.04,1.54,55.9,3,THROTTLED,rr-08,22.86;21.18;19.08
65535,2,8.72,0.08,55.7,3,THROTTLED,rr-09,8.74;8.61;8.80
65535,5,4.40,0.04,53.8,3,THROTTLED,rr-10,4.44;4.42;4.35
65535,10,3.82,0.01,54.1,3,THROTTLED,seg-08,3.81;3.81;3.83
100000,1,22.83,0.98,34.8,3,THROTTLED,seg-09,21.61;24.02;22.86
100000,2,5.02,0.10,35.2,3,THROTTLED,seg-09,5.01;5.13;4.90
100000,5,2.74,0.01,34.3,3,THROTTLED,seg-10,2.75;2.74;2.74
100000,10,2.39,0.01,34.3,3,THROTTLED,seg-10,2.39;2.40;2.37
