model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c1),3162.605047820411,1552.6519916576874,3162.605047820411,1552.6519916576874,,,,,1030.2172426666705,772.3352532648265,1027.0540533333585,772.3352532648264,1030.2172426666705,772.3352532648265
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c1),56.2240030536725,0.11107603906995105,56.2240030536725,0.11107603906995105,57.0,0.0,57.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c2),4475.108387037583,1317.6126355921556,2265.1252108740177,639.2692403556212,,,,,1008.0470026666906,356.06716867552973,1004.8838133333791,356.0671686755298,1008.0470026666906,356.06716867552973
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c2),94.92689469485117,2.727801397372469,47.84549823106615,0.9801343101911042,100.66666666666667,1.8856180831641267,50.333333333333336,0.9428090415820634,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c5),4509.066322075685,351.9741495246542,954.0414759760237,105.34223127700473,,,,,2178.1435157333362,249.40422026928917,2174.9803264000248,249.40422026928908,2178.1435157333362,249.40422026928917
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c5),111.8161416716802,2.3025554677740376,23.454773541223705,0.6675726852133098,134.33333333333334,3.2998316455372216,26.866666666666667,0.7180219742846006,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c10),4766.231321557087,405.5045147087311,493.93060487615736,57.113286425519256,,,,,4202.809178666652,447.224706169741,4199.64598933334,447.2247061697412,4202.809178666652,447.224706169741
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c10),144.72044752886288,2.7839473805579185,15.947693524660911,0.5745767943506016,172.66666666666666,3.7712361663282534,17.266666666666666,0.4422166387140533,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c1),5480.00463607885,18.735236461053596,5480.00463607885,18.735236461053596,,,,,750.8601280000372,2.6348239590290743,747.6969386667255,2.6348239590290743,750.8601280000372,2.6348239590290743
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c1),55.45782655068766,0.043438495287962064,55.45782655068766,0.043438495287962064,56.0,0.0,56.0,0.0,,,,,,
