depth,concurrency,pp_mean,pp_std,tg_mean,tg_std,runs,tg_values
0,1,4532.3,1491.2,100.10,6.18,5,100.33;96.70;107.61;105.46;90.40
0,2,5715.5,31.5,159.63,7.89,3,150.68;158.31;169.88
0,5,2299.2,958.0,142.82,59.70,3,58.97;176.13;193.34
0,10,2918.9,64.2,173.96,7.33,3,168.90;184.33;168.66
4096,1,1918.0,55.5,107.89,4.23,3,107.43;102.96;113.29
4096,2,2072.1,26.6,169.67,8.98,3,168.29;181.30;159.43
4096,5,1566.4,46.4,153.22,5.20,3,157.97;145.98;155.71
4096,10,1576.7,27.8,116.08,2.35,3,118.70;116.56;113.00
8192,1,1808.1,42.0,108.26,10.57,3,107.30;95.82;121.65
8192,2,1933.5,25.7,168.78,6.96,3,161.95;166.06;178.33
8192,5,1512.3,13.2,149.16,2.80,3,145.29;150.40;151.79
8192,10,1525.3,13.1,113.07,2.46,3,110.01;113.17;116.03
16384,1,1657.5,23.8,107.54,2.69,3,107.29;104.38;110.96
16384,2,1773.3,10.5,172.55,6.62,3,172.37;180.74;164.53
16384,5,1391.2,4.5,131.80,0.46,3,132.38;131.26;131.77
16384,10,1391.7,6.3,100.78,0.84,3,99.64;101.64;101.06
32768,1,1454.4,3.6,101.27,6.06,3,98.07;95.99;109.76
32768,2,1536.5,14.4,157.25,9.94,3,149.69;171.29;150.76
32768,5,1259.2,6.8,108.88,0.44,3,109.49;108.64;108.50
32768,10,1245.9,11.1,87.46,0.72,3,88.46;86.82;87.10
65535,1,905.3,6.6,101.99,4.62,3,108.34;100.13;97.50
65535,2,958.9,2.4,145.50,7.37,3,151.69;149.66;135.14
65535,5,840.6,6.7,78.04,2.04,3,75.22;78.95;79.95
65535,10,843.0,2.1,60.73,0.37,3,60.43;60.51;61.26
100000,1,667.0,1.3,94.62,5.70,3,100.62;86.96;96.28
100000,2,712.8,3.6,128.55,2.51,3,125.02;129.99;130.64
100000,5,646.6,3.6,63.28,1.04,3,64.31;63.65;61.86
100000,10,646.6,4.3,47.27,0.38,3,47.78;47.15;46.88
